Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
      14      20       8
        Tdev         Tsd       RHdev        RHsd       DPdev        DPsd         lat         lon        ndvi      albedo        area      height   elevation   water500m
      0.3393      0.2795     -0.5143     -0.4152     -2.1264     -0.5510     40.7245    -73.9943      0.2069      0.1634      0.4081     18.3275     12.8318      0.0000
      0.5050      0.4465     -0.3507     -0.1981     -1.7714     -0.5473     40.7239    -73.9925      0.2385      0.1618      0.4119     16.8823     12.8547      0.0000
      0.3043      0.2335     -0.4493     -0.3259     -1.5193     -0.4817     40.7234    -73.9907      0.1629      0.1453      0.2885     14.3707     12.2702      0.0000
      0.3700      0.2738     -0.2957     -0.1341     -1.2129     -0.3725     40.7228    -73.9890      0.1629      0.1453      0.2885     14.3707     11.0605      0.0000
      0.7250      0.5798     -0.0829      0.0242     -1.4100     -0.4382     40.7223    -73.9872      0.1755      0.1408      0.4906     16.1854      9.8706      0.0000
      0.4143      0.2933     -0.3093     -0.1676     -1.2886     -0.3947     40.7217    -73.9854      0.2428      0.1411      0.3707     15.4799      8.1933      0.0000
      0.7079      0.5955      0.1029      0.2408     -0.9021     -0.2685     40.7212    -73.9836      0.2428      0.1411      0.3707     15.4799      6.9726      0.0000
      0.6971      0.6103     -0.0636      0.1009     -1.1471     -0.3452     40.7206    -73.9819      0.4134      0.1345      0.2006     15.8301      5.5587      0.0000
      0.4600      0.3238     -0.1486      0.0047     -0.7221     -0.2302     40.7201    -73.9801      0.3927      0.1308      0.2519     18.1554      4.6499      0.0476
      0.2893      0.2317     -0.2714      0.0076     -0.7679     -0.1956     40.7195    -73.9784      0.2256      0.1161      0.0988     31.5129      3.1984      0.2132
      0.0214     -0.0125     -0.1214      0.0744      0.2486      0.0077     40.7179    -73.9779      0.1976      0.0940      0.0767     23.1655      2.9035      0.3084
     -0.5327     -0.4267      0.3860      0.2832      1.9667      0.6530     40.7173    -74.0150      0.1734      0.1217      0.2770     38.2476      0.5778      0.7007
      0.2300      0.2406      0.5173      0.4740      0.6720      0.2387     40.7166    -74.0133      0.1297      0.1319      0.5835     23.1593      1.4165      0.5442
      0.2773      0.2535      0.1820      0.1929     -0.0707      0.0064     40.7159    -74.0117      0.2289      0.1063      0.3180     23.0313      2.6611      0.3764
      0.3720      0.3946      0.4333      0.4611      0.3680      0.0956     40.7152    -74.0100      0.1803      0.1045      0.5264     26.4988      6.0433      0.1723
      0.5453      0.5908      0.4387      0.4934      0.0247     -0.0289     40.7145    -74.0084      0.1968      0.1113      0.4236     71.4607      9.4000      0.0317
      0.5593      0.5800      0.4867      0.5149      0.1813      0.0030     40.7138    -74.0067      0.1968      0.1113      0.4236     71.4607     10.3609      0.0023
     -0.0067      0.0770      0.1553      0.1887      0.5793      0.1647     40.7129    -74.0054      0.3141      0.1080      0.3025     54.4002     10.2943      0.0136
      0.0547      0.0998      0.3920      0.3927      1.0213      0.2418     40.7122    -74.0057      0.3141      0.1080      0.3025     54.4002     10.4463      0.0227
     -0.1220     -0.0701      0.3027      0.3625      1.2267      0.3221     40.7116    -74.0049      0.3141      0.1080      0.3025     54.4002      8.5506      0.0635
     -0.1853     -0.0908      0.3133      0.4250      1.4753      0.3636     40.7106    -74.0034      0.2696      0.0790      0.0889     33.3573      3.9095      0.1723
     -0.5800     -0.4370      0.4507      0.4399      2.4993      0.7140     40.7097    -74.0021      0.2696      0.0790      0.0889     33.3573      1.9890      0.2971
     -0.2800     -0.1263      0.8727      0.8658      2.7927      0.8392     40.7087    -74.0010      0.1660      0.0766      0.1338     30.4519      2.2049      0.4626
      0.0093      0.1363      1.0687      1.0384      2.6620      0.7622     40.7078    -74.0007     -0.0064      0.0914      0.0122      9.1964      0.6659      0.5578
      0.2933      0.4034      0.8187      0.8431      1.4613      0.3697     40.7069    -74.0020      0.0082      0.0676      0.0159     12.0000      0.2113      0.6054
      0.5213      0.5863      0.9513      0.9327      1.2333      0.2581     40.7065    -74.0033      0.0082      0.0676      0.0159     12.0000      0.2322      0.5782
      0.0653      0.1436      0.0020      0.1485      0.1893     -0.0589     40.7071    -74.0039      0.0606      0.0586      0.3846     14.1344      1.7904      0.4581
     -0.4867     -0.2583     -0.0013      0.1584      1.5233      0.3132     40.7082    -74.0049      0.0606      0.0586      0.3846     14.1344      4.5717      0.3061
     -0.6273     -0.4010      0.3880      0.4441      2.6000      0.6771     40.7094    -74.0064      0.1670      0.0867      0.5142     36.9080      8.4197      0.1587
     -0.9720     -0.6933      0.7033      0.6883      4.0387      1.1833     40.7103    -74.0080      0.1670      0.0867      0.5142     36.9080      9.8632      0.0635
     -0.8227     -0.5176      1.1140      1.1298      4.5767      1.3895     40.7113    -74.0098      0.2810      0.1057      0.5333     41.6909      8.5071      0.0794
